Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Rick Parros,DEN,FB,26,15,2,0,0,0,0,0,46,208,4.52,2,6,25,4.17,0,0,,2,,,35,41.3,44.3,38.3,,79,
Bill Ring,SFO,FB,28,16,1,0,0,0,0,0,38,162,4.26,3,3,10,3.33,0,0,,3,,,35,38.2,41.2,36.7,,80,
Theo Bell,TAM,WR,31,15,0,0,0,0,0,0,0,0,,0,22,350,15.91,0,1,,0,,,34,56.0,59.5,45.0,,77,
David Hill,RAM,TE,30,16,16,0,0,0,0,0,0,0,,0,31,300,9.68,1,2,,1,,,34,65.0,69.0,49.5,,32,
John Jefferson,GNB,WR,28,13,12,0,0,0,0,0,0,0,,0,26,339,13.04,0,0,,0,,,34,59.9,62.9,46.9,,78,
Matt Cavanaugh,SFO,QB,28,8,1,33,61,449,4,0,4,-11,-2.75,0,0,0,,0,0,,0,,,33,32.9,35.9,32.9,,45,
Lindsay Scott,NOR,WR,24,16,5,0,0,0,0,0,0,0,,0,21,278,13.24,1,1,,1,,,33,53.8,57.3,43.3,,79,
Marion Barber Jr.,NYJ,FB,25,14,6,0,0,0,0,0,31,148,4.77,2,10,79,7.90,0,3,,2,,,32,41.7,46.2,36.7,,83,
Ray Crouse,GNB,RB,25,16,0,0,0,0,0,0,53,169,3.19,0,9,93,10.33,1,0,,1,,,32,41.2,44.2,36.7,,82,
Kenny King,RAI,FB,27,16,16,0,0,0,0,0,67,254,3.79,0,14,99,7.07,0,3,,0,,,32,46.3,50.8,39.3,,81,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Rose,MIA,TE,27,9,0,0,0,0,0,0,0,0,,0,12,195,16.25,2,0,,2,,,32,43.5,46.5,37.5,,33,
Bobby Humphery,NYJ,WR,23,16,4,0,0,0,0,0,0,0,,0,14,206,14.71,1,2,,2,,,31,44.6,48.6,37.6,,82,
Jim Jensen,MIA,WR,26,16,2,1,1,35,1,0,0,0,,0,13,139,10.69,2,0,,2,,,31,44.3,47.3,37.8,,80,
Paul Johns,SEA,WR,26,4,2,0,0,0,0,0,0,0,,0,17,207,12.18,1,2,,2,,,31,47.7,51.7,39.2,,81,
Clarence Kay,DEN,TE,23,16,13,0,0,0,0,0,0,0,,0,16,136,8.50,3,1,,3,,,31,46.6,50.1,38.6,,34,
Speedy Neal,BUF,RB,22,12,1,0,0,0,0,0,49,175,3.57,1,9,76,8.44,0,0,,1,,,31,40.1,43.1,35.6,,84,
Mike Wilson,SFO,WR,26,13,3,0,0,0,0,0,0,0,,0,17,245,14.41,1,0,,1,,,31,47.5,50.5,39.0,,83,
Jimmy Cefalo,MIA,WR,28,16,0,0,0,0,0,0,0,0,,0,18,185,10.28,2,1,,2,,,30,47.5,51.0,38.5,,85,
